ATP_Healthy

t	(Var=ATP) ATP
73.52983964017255	100.62499999999994
74.30458079308978	100.62499999999994
75.52983964017255	100.62499999999994
76.30458079308978	100.62499999999994
77.52983964017255	100.62499999999994
78.30458079308978	100.62499999999994
79.52983964017255	100.62499999999994
80.30458079308978	100.62499999999994
81.52983964017255	100.62499999999994
82.30458079308978	100.62499999999994
83.52983964017255	100.62499999999994
84.30458079308978	100.62499999999994
85.52983964017255	100.62499999999994
86.30458079308978	100.62499999999994
87.52983964017255	100.62499999999994
88.30458079308978	100.62499999999994
89.52983964017255	100.62499999999994
90.30458079308978	100.62499999999994
91.52983964017255	100.62499999999994
92.30458079308978	100.62499999999994
93.52983964017255	100.62499999999994
94.30458079308978	100.62499999999994
95.52983964017255	100.62499999999994
96.30458079308978	100.62499999999994
97.52983964017255	100.62499999999994
98.30458079308978	100.62499999999994
99.52983964017255	100.62499999999994
100.0	100.62499999999994
